_id,Time_Stamp,Device_ID,Current,voltage,Power_Factor,Real_Power,room_temp,External_temp,Humidity,unit_consumption,_updated,_created,_etag
ObjectId(647d8f60aa22689102728f1c),2023-06-05T06:32:17.837157+00:00,C108AC01,0.8,237,0.09,,24.9,30.44,44.43,0.04,2023-06-05T07:31:43.000Z,2023-06-05T07:31:43.000Z,a838858da63ae9b92e580892c3b1b8de5499f1fc
ObjectId(647d9d44aa22689102728f3b),2023-06-05T07:31:29.287431+00:00,C108AC01,0.7,238,0.07,,24.9,30.44,44.43,0.03,2023-06-05T08:30:59.000Z,2023-06-05T08:30:59.000Z,9c437795bb63a30acc075cdda0b3e2119ce91a96
ObjectId(647d9e64aa22689102728f3d),2023-06-05T08:33:21.584452+00:00,C108AC01,0.8,238,0.02,,24.9,30.44,44.43,0.04,2023-06-05T08:35:48.000Z,2023-06-05T08:35:48.000Z,bfa2e39676adf1cf22078c1f585f6d84e5b90e7a
ObjectId(647d9e7baa22689102728f3e),2023-06-05T08:36:02.990351+00:00,C108AC01,0.8,237,0.06,,24.9,30.49,44.03,0.04,2023-06-05T08:36:11.000Z,2023-06-05T08:36:11.000Z,16f4ce4e49f461f331b6e3362b0c68a36b856c65
ObjectId(647d9f1faa22689102728f40),2023-06-05T08:38:44.405817+00:00,C108AC01,0.7,236,0.08,,24.9,30.54,44.13,0.03,2023-06-05T08:38:55.000Z,2023-06-05T08:38:55.000Z,4995eb747f778d5b0341d030739584e7bf2caa9c
ObjectId(647d9fc2aa22689102728f42),2023-06-05T08:41:25.810331+00:00,C108AC01,0.8,238,0.05,,24.9,29.91,44.13,0.04,2023-06-05T08:41:38.000Z,2023-06-05T08:41:38.000Z,b1ec5d3506edf59022b2a47ccb73669c5dc2dd25
ObjectId(647da063aa22689102728f44),2023-06-05T08:44:07.234948+00:00,C108AC01,0.7,237,0.09,,24.9,29.87,44.23,0.04,2023-06-05T08:44:19.000Z,2023-06-05T08:44:19.000Z,9a3cce8a15e262716d3356fb97dbceb45a9bfc6f
ObjectId(647da106aa22689102728f46),2023-06-05T08:46:48.599119+00:00,C108AC01,0.8,237,0.05,,24.9,29.73,44.33,0.04,2023-06-05T08:47:01.000Z,2023-06-05T08:47:01.000Z,ced696f0504d80252b5202e99c2bc45bf907d94d
ObjectId(647da1a9aa22689102728f48),2023-06-05T08:49:30.015123+00:00,C108AC01,0.8,237,0.05,,24.9,29.77,44.03,0.04,2023-06-05T08:49:44.000Z,2023-06-05T08:49:44.000Z,bd429075831f441d17d63786df9e6fbb3a4e8e28
ObjectId(647da248aa22689102728f4a),2023-06-05T08:52:11.407186+00:00,C108AC01,0.8,236,0.07,,24.9,29.75,43.83,0.04,2023-06-05T08:52:24.000Z,2023-06-05T08:52:24.000Z,499dc58289348fc7e34e3103a083b6dc3810c0b6
ObjectId(647da2ebaa22689102728f4c),2023-06-05T08:54:52.813673+00:00,C108AC01,0.7,239,0.03,,24.9,29.72,43.73,0.03,2023-06-05T08:55:07.000Z,2023-06-05T08:55:07.000Z,cbdeaed3d905bfd1045c0452b86bb4d78db63ec8
ObjectId(647da38daa22689102728f4e),2023-06-05T08:57:34.212551+00:00,C108AC01,0.7,239,0.01,,24.9,29.78,43.73,0.03,2023-06-05T08:57:49.000Z,2023-06-05T08:57:49.000Z,2cded3e5bbbc99ae28b512d9f74747361eb1568d
ObjectId(647da42faa22689102728f50),2023-06-05T09:00:15.608227+00:00,C108AC01,0.7,238,0.04,,25,33.76,43.73,0.03,2023-06-05T09:00:30.000Z,2023-06-05T09:00:30.000Z,0f96289d77a59453e0284a5584ea89cf322be61b
ObjectId(647da4d6aa22689102728f52),2023-06-05T09:02:56.994582+00:00,C108AC01,0.7,238,0.01,,24.9,33.07,44.53,0.03,2023-06-05T09:03:18.000Z,2023-06-05T09:03:18.000Z,2cde7b96c663add5d71f0d9323c33b1ed7e369d7
ObjectId(647da573aa22689102728f54),2023-06-05T09:05:38.455983+00:00,C108AC01,0.8,238,0.07,,24.9,32.5,44.43,0.04,2023-06-05T09:05:54.000Z,2023-06-05T09:05:54.000Z,e4e5e7730f4382b34771d92cc35cf9680de8b0b3
ObjectId(647da615aa22689102728f56),2023-06-05T09:08:19.823103+00:00,C108AC01,0.8,239,0.07,,24.8,31.72,44.53,0.04,2023-06-05T09:08:37.000Z,2023-06-05T09:08:37.000Z,01edf86edee690bb9cd6ac4813938b2f7872c04f
